@relation churn


@attribute State{KS,OH,NJ,OK,AL,MA,MO,LA,WV,IN,RI,IA,MT,NY,ID,VT,VA,TX,FL,CO,AZ,SC,NE,WY,HI,IL,NH,GA,AK,MD,AR,WI,OR,MI,DE,UT,CA,MN,SD,NC,WA,NM,NV,DC,KY,ME,MS,TN,PA}
@attribute AccountLength numeric
@attribute AreaCode numeric
@attribute Phone numeric
@attribute IntlPlan {yes,no}
@attribute VMailPlan {yes,no}
@attribute VMailMessage numeric
@attribute DayMins numeric
@attribute DayCalls numeric
@attribute DayCharge numeric
@attribute EveMins numeric
@attribute EveCalls numeric
@attribute EveCharge numeric
@attribute NightMins numeric
@attribute NightCalls numeric
@attribute NightCharge numeric
@attribute IntlMins numeric
@attribute IntlCalls numeric
@attribute IntlCharge numeric 
@attribute CustServCalls numeric
@attribute Churn{True.,False.}

@data
NY,106,408,4221471,no,no,0,158.700000,74,26.980000,64.300000,139,5.470000,198.500000,103,8.930000,10.200000,4,2.750000,1,False.
AZ,93,415,3997865,no,no,0,271.600000,71,46.170000,229.400000,108,19.500000,77.300000,121,3.480000,10.900000,3,2.940000,2,False.
WY,164,510,3734819,no,no,0,160.600000,111,27.300000,163.200000,126,13.870000,187.100000,112,8.420000,9.000000,3,2.430000,1,False.
WA,51,408,3386981,no,no,0,232.400000,109,39.510000,187.400000,95,15.930000,231.200000,107,10.400000,9.100000,3,2.460000,1,False.
CO,107,415,4184365,no,no,0,133.800000,85,22.750000,180.500000,94,15.340000,112.200000,115,5.050000,8.900000,4,2.400000,0,False.
TX,130,415,3595461,no,no,0,176.900000,109,30.070000,90.700000,104,7.710000,238.000000,69,10.710000,9.500000,2,2.570000,1,False.
KY,80,408,3753586,no,no,0,209.900000,74,35.680000,195.100000,77,16.580000,208.200000,119,9.370000,8.800000,4,2.380000,2,False.
MT,94,415,4078376,no,no,0,137.500000,118,23.380000,203.200000,88,17.270000,150.000000,131,6.750000,13.400000,2,3.620000,0,False.
OK,118,408,4086496,no,yes,23,289.500000,52,49.220000,166.600000,111,14.160000,119.100000,88,5.360000,9.500000,4,2.570000,1,False.
MD,117,415,3857688,no,yes,23,198.100000,86,33.680000,177.000000,86,15.050000,180.500000,92,8.120000,6.800000,6,1.840000,1,False.
TN,78,415,3326934,no,no,0,149.700000,119,25.450000,182.200000,115,15.490000,261.500000,126,11.770000,9.700000,8,2.620000,0,False.
TX,208,510,3783625,no,no,0,326.500000,67,55.510000,176.300000,113,14.990000,181.700000,102,8.180000,10.700000,6,2.890000,2,True.
ME,131,510,3537292,yes,yes,26,292.900000,101,49.790000,199.700000,97,16.970000,255.300000,127,11.490000,13.800000,7,3.730000,4,True.
DC,63,408,3996786,no,no,0,83.000000,64,14.110000,177.000000,106,15.050000,245.700000,89,11.060000,13.000000,3,3.510000,0,False.
MN,53,415,3583261,no,yes,24,145.700000,146,24.770000,220.500000,136,18.740000,249.900000,96,11.250000,13.100000,5,3.540000,3,False.
DE,62,408,3779932,no,no,0,182.300000,101,30.990000,328.200000,93,27.900000,245.000000,131,11.030000,11.200000,1,3.020000,2,False.
MD,97,415,3974030,no,no,0,218.000000,86,37.060000,184.000000,94,15.640000,240.500000,110,10.820000,6.400000,8,1.730000,3,False.
MI,105,510,3671062,no,no,0,140.600000,109,23.900000,178.600000,51,15.180000,217.000000,83,9.760000,6.800000,3,1.840000,2,False.
WA,157,415,3418467,no,no,0,152.700000,105,25.960000,257.500000,80,21.890000,198.100000,93,8.910000,9.400000,4,2.540000,1,False.
MO,66,415,3399453,no,yes,36,106.700000,76,18.140000,209.800000,77,17.830000,190.400000,117,8.570000,12.100000,2,3.270000,1,False.
IN,122,415,3443388,no,no,0,243.800000,98,41.450000,83.900000,72,7.130000,179.800000,84,8.090000,13.700000,8,3.700000,2,False.
OR,38,415,3758013,no,no,0,194.400000,94,33.050000,186.700000,95,15.870000,223.300000,90,10.050000,10.800000,5,2.920000,3,False.
MD,106,510,4084142,no,no,0,213.900000,95,36.360000,151.900000,70,12.910000,260.100000,124,11.700000,12.200000,5,3.290000,3,False.
RI,99,510,3863671,no,no,0,217.200000,112,36.920000,246.700000,89,20.970000,226.100000,89,10.170000,15.800000,7,4.270000,3,False.
LA,99,415,4112284,no,no,0,241.100000,72,40.990000,155.600000,98,13.230000,188.200000,109,8.470000,11.600000,10,3.130000,1,False.
AZ,144,510,3467795,yes,no,0,203.500000,100,34.600000,247.600000,103,21.050000,194.300000,94,8.740000,11.900000,11,3.210000,0,False.
PA,82,415,3335609,no,yes,24,155.200000,131,26.380000,244.500000,106,20.780000,122.400000,68,5.510000,10.700000,3,2.890000,1,False.
AZ,86,408,4051842,no,yes,31,167.600000,139,28.490000,113.000000,118,9.610000,246.900000,121,11.110000,12.200000,6,3.290000,1,False.
FL,70,510,3666345,yes,no,0,226.700000,98,38.540000,228.100000,115,19.390000,73.200000,93,3.290000,17.600000,4,4.750000,2,True.
LA,93,415,3379345,no,no,0,179.300000,93,30.480000,178.600000,98,15.180000,225.200000,131,10.130000,11.500000,6,3.110000,3,False.
FL,93,415,3286770,no,no,0,151.400000,89,25.740000,186.400000,76,15.840000,172.500000,120,7.760000,10.900000,3,2.940000,0,False.
FL,120,415,3807321,no,no,0,180.000000,80,30.600000,224.200000,82,19.060000,265.400000,91,11.940000,4.700000,7,1.270000,3,False.
MD,136,415,3751476,no,no,0,250.200000,121,42.530000,267.100000,118,22.700000,151.000000,114,6.800000,13.000000,2,3.510000,1,True.
AL,106,415,3561567,no,no,0,223.000000,121,37.910000,110.100000,98,9.360000,188.700000,107,8.490000,7.100000,12,1.920000,0,False.
WA,81,415,4226685,no,no,0,183.600000,116,31.210000,152.600000,98,12.970000,212.200000,99,9.550000,12.200000,6,3.290000,3,False.
TN,127,408,3361090,no,yes,22,166.000000,114,28.220000,174.500000,103,14.830000,244.900000,68,11.020000,10.200000,6,2.750000,1,False.
MS,65,415,3432095,no,no,0,136.100000,112,23.140000,272.900000,96,23.200000,220.200000,104,9.910000,4.400000,2,1.190000,1,False.
ME,35,408,3453934,no,no,0,149.300000,113,25.380000,242.200000,122,20.590000,174.300000,104,7.840000,8.900000,6,2.400000,2,False.
OK,88,408,3388050,no,no,0,65.400000,97,11.120000,168.200000,76,14.300000,236.000000,113,10.620000,13.800000,1,3.730000,2,False.
IN,65,415,3889568,no,no,0,213.400000,111,36.280000,234.500000,94,19.930000,250.100000,123,11.250000,2.700000,4,0.730000,1,False.
MO,123,415,4026591,no,no,0,206.900000,85,35.170000,244.700000,78,20.800000,221.500000,136,9.970000,7.700000,2,2.080000,3,False.
IA,126,408,4036419,no,yes,27,186.200000,78,31.650000,189.600000,83,16.120000,76.500000,139,3.440000,9.600000,3,2.590000,2,False.
VA,104,415,3869790,no,yes,23,280.200000,136,47.630000,220.500000,92,18.740000,136.900000,102,6.160000,13.300000,3,3.590000,4,False.
KY,45,415,3785692,no,yes,22,196.600000,84,33.420000,313.200000,92,26.620000,163.300000,108,7.350000,11.900000,3,3.210000,0,False.
MD,93,408,3603324,yes,no,0,312.000000,109,53.040000,129.400000,100,11.000000,217.600000,74,9.790000,10.500000,2,2.840000,0,True.
OH,63,415,4103719,yes,yes,36,199.000000,110,33.830000,291.300000,111,24.760000,197.600000,92,8.890000,11.000000,6,2.970000,1,False.
OK,100,415,3524221,no,no,0,203.100000,96,34.530000,217.000000,126,18.450000,180.900000,122,8.140000,13.500000,2,3.650000,3,False.
NV,53,415,3276179,no,no,0,168.800000,97,28.700000,220.300000,87,18.730000,154.300000,113,6.940000,10.900000,2,2.940000,0,False.
ID,92,415,3596196,yes,no,0,173.100000,140,29.430000,240.300000,105,20.430000,233.200000,117,10.490000,9.000000,5,2.430000,1,False.
MN,139,510,3749107,no,no,0,134.400000,106,22.850000,211.300000,98,17.960000,193.600000,125,8.710000,10.200000,2,2.750000,5,True.
SD,110,408,3574078,no,yes,40,202.600000,103,34.440000,118.800000,128,10.100000,234.900000,98,10.570000,9.000000,9,2.430000,2,False.
IL,110,408,3665780,no,no,0,74.500000,117,12.670000,200.800000,98,17.070000,192.200000,101,8.650000,9.800000,7,2.650000,3,False.
WY,215,510,3939619,no,no,0,83.600000,148,14.210000,120.900000,91,10.280000,226.600000,110,10.200000,10.700000,9,2.890000,0,False.
AL,73,415,3559295,no,no,0,192.200000,86,32.670000,168.600000,116,14.330000,139.800000,87,6.290000,9.400000,6,2.540000,1,False.
